"","pclass","survived","embarked","MedianFare","PassengerCount"
"1","1","0","C",55.4417,26
"2","1","0","Q",90,1
"3","1","0","S",38.5,53
"4","1","1","C",79.2,59
"5","1","1","Q",90,1
"6","1","1","S",56.45,74
"7","1","1",NA,80,2
"8","2","0","C",25.8604,8
"9","2","0","Q",12.35,1
"10","2","0","S",13,88
"11","2","1","C",24,9
"12","2","1","Q",12.35,2
"13","2","1","S",22,76
"14","3","0","C",7.2292,41
"15","3","0","Q",7.75,45
"16","3","0","S",8.05,286
"17","3","1","C",14.4542,25
"18","3","1","Q",7.75,27
"19","3","1","S",9.5,67
